ID,ax,ay,D,a,b,label
O001,-5.828670879282072e-17,-2.886579864025407e-16,-1.9984014443252818e-16,-7.327471962526033e-16,-7.771561172376095e-17,0.0
O002,-7.771561172376095e-17,1.554312234475219e-16,-2.220446049250313e-16,3.3306690738754695e-17,7.771561172376095e-17,0.0
O003,-2.095545958979983e-16,-1.7763568394002506e-16,-1.637578961322106e-16,7.105427357601002e-16,-2.4424906541753446e-16,0.0
O004,5.828670879282072e-17,8.881784197001253e-17,-1.9984014443252818e-16,4.440892098500626e-16,-3.108624468950438e-16,0.0
O005,-8.881784197001253e-17,-3.885780586188048e-16,2.220446049250313e-16,-1.27675647831893e-15,-1.3322676295501878e-16,0.0
O007,-2.2204460492503132e-17,1.1102230246251565e-16,1.1102230246251566e-17,-9.159339953157541e-17,-2.220446049250313e-16,0.0
O008,-3.3306690738754695e-17,-6.439293542825908e-16,2.220446049250313e-16,-3.6637359812630164e-16,-1.1102230246251565e-16,0.0
O009,1.7763568394002506e-16,-3.6637359812630164e-16,2.886579864025407e-16,-7.105427357601002e-16,-2.220446049250313e-16,0.0
O010,-5.828670879282072e-17,0.0,1.1934897514720432e-16,-3.108624468950438e-16,3.3306690738754695e-17,0.0
