ID,ax,ay,D,a,b,label
M001,-8.500145032286355e-17,-3.8857805861880476e-17,-8.881784197001253e-17,8.881784197001253e-17,-2.220446049250313e-16,1.0
M002,-7.771561172376095e-17,6.38378239159465e-16,-3.469446951953614e-16,-9.603429163007604e-16,2.220446049250313e-16,1.0
M003,-1.1102230246251566e-17,2.7755575615628914e-16,-2.886579864025407e-16,-1.7763568394002506e-16,4.4408920985006264e-17,1.0
M005,3.3306690738754695e-17,-2.8199664825478975e-15,-2.148281552649678e-15,1.6653345369377347e-17,1.554312234475219e-16,1.0
M006,3.108624468950438e-16,2.997602166487923e-16,-3.9968028886505636e-16,1.1712852909795402e-15,-1.1102230246251566e-17,1.0
M007,1.6653345369377347e-17,8.881784197001253e-17,1.1102230246251565e-16,4.4408920985006264e-17,-1.2212453270876723e-16,1.0
M009,3.1720657846433045e-16,1.586032892321652e-17,1.427429603089487e-16,1.9825411154020654e-16,-1.1102230246251565e-16,1.0
M010,0.0,0.0,1.2335811384723962e-16,1.603655480014115e-15,-4.9343245538895844e-17,1.0
M011,-1.2335811384723961e-17,2.220446049250313e-16,7.401486830834377e-17,1.8133642735544222e-15,8.943463253924872e-17,1.0
